,Date,TweetURL,Tweet,Polarity,Neutral Score,Negative Score,Positive Score,Sentiment
0,2022-10-10 23:20:04+00:00,https://twitter.com/flightwit/status/1579612761478221824,fear of flying? businestravellife says try this easy exercise https t.co 4wjna27pwy travel #airline https t.co owskps9gxy,0.0451,0.695,0.148,0.156,Positive
1,2022-10-10 23:12:19+00:00,https://twitter.com/TildeCafe_/status/1579610810246377472,"why don t #airlines have co2 monitors displaying values, promptly located in cabins? easy enough if passengers are carrying them then why not do a service and #airline place monitors that are easily visible?",0.8105,0.788,0.0,0.212,Positive
2,2022-10-10 22:37:04+00:00,https://twitter.com/AlexKrebsKatz/status/1579601939515723777,record breaker belfast welcomes one of the world s largest cargo planes. https t.co wfo7r3m9ul #cargo #airline,0.4019,0.856,0.0,0.144,Positive
3,2022-10-10 22:18:58+00:00,https://twitter.com/aoisoraakai/status/1579597384946184192, aircraft airline airport travel trip ana jal # https t.co efceqsmqj7,0.0,1.0,0.0,0.0,Neutral
4,2022-10-10 22:01:41+00:00,https://twitter.com/CAO_JOBS/status/1579593033531609094,visit our nj career center for an onsite prescreening to jumpstart your career at ewr airport. we are seeking to fill the aircraft amp building cleaner position. #airline #airport #airplane #aviation #job #wkdev #career #ewrjobs https t.co tm8e3zesk1,0.1779,0.956,0.0,0.044,Positive
5,2022-10-10 21:05:10+00:00,https://twitter.com/OnliTraveller/status/1579578810810257408,the three seats on an airplane to never select..... https t.co dvd0tlydj6 #airtravel #airplaneseat #seatselection #airline #airplane #traveladvice #traveltip https t.co hurb7k73nm,0.0,1.0,0.0,0.0,Neutral
6,2022-10-10 20:18:28+00:00,https://twitter.com/rai36de/status/1579567059616542720,#heimflug in der #nacht der urlaub war so schnell vorbei. wehm tig sehe ich aus dem kleinen sichtfenster auf die #lichter der #stadt . . #flightfromcity #airport #airline #flugreise flughafen k ln bonn airport https t.co zgfh1jmsjg,-0.8316,0.818,0.182,0.0,Negative
7,2022-10-10 19:58:00+00:00,https://twitter.com/ValuedHR/status/1579561908327559168,"american airlines cuts 31,000 flights from its november schedule https t.co yxfcpjmwme #travel #data #flights #airtravel #airline https t.co niit8nuqhx",-0.296,0.896,0.104,0.0,Negative
8,2022-10-10 19:40:04+00:00,https://twitter.com/flightwit/status/1579557396594057217,why does turbulence on a flight feel worse than it is? https t.co gksapzmsf5 #turbulence #airline #flying #fear,-0.743,0.717,0.283,0.0,Negative
9,2022-10-10 19:19:16+00:00,https://twitter.com/eriksownphoto/status/1579552160777240577,f #vehicle #transportation #aircraft #airplane #jet #warplane #bomber #outdoors #nature #ice #adventure #leisureactivities #mountain #plane #window #airline #iceland #newyork #canada #reykjavik #newark #usa #unitedstates https t.co 6qbftrhjea,0.3182,0.919,0.0,0.081,Positive
10,2022-10-10 19:01:35+00:00,https://twitter.com/CAO_JOBS/status/1579547711032131584,"this friday, cao will be hosting a logistics recruitment event! we are seeking candidates to fill numerous warehouse, ramp, amp cargo agent positions! #airline #airport #airplane #aviation #job #wkdev #career #jfkjobs https t.co hmdwo0ybh9",0.0,1.0,0.0,0.0,Neutral
11,2022-10-10 18:57:50+00:00,https://twitter.com/VegasBiLL/status/1579546766877560833,this airline is allowing passengers to disembark from 3 points for easy exiting https t.co tpdrpb7twe travelleisure #travel #airline #airplane,0.4404,0.868,0.0,0.132,Positive
12,2022-10-10 18:40:03+00:00,https://twitter.com/flightwit/status/1579542292125208576,how do we regulate our emotions? this psychologytoday article offers the key https t.co 6erwmajwiz #airline https t.co sq7deo0wlm,0.0,1.0,0.0,0.0,Neutral
13,2022-10-10 18:30:00+00:00,https://twitter.com/Newsbook_com_mt/status/1579539763605930008,finance minister clydecaruana could not confirm whether national airline airmalta would still be around next year observing in #parliament that its fate rested in the hands of the #europeancommission. #airline #nationalairline #travel #malta #localnews https t.co 77fgum2mps,0.0,1.0,0.0,0.0,Neutral
14,2022-10-10 18:00:48+00:00,https://twitter.com/apexx_inc/status/1579532413922787328,air canada cargo expands us freighter network #airline news #airline #airline crew https t.co vrvvaiab3z,0.1027,0.909,0.0,0.091,Positive
15,2022-10-10 18:00:35+00:00,https://twitter.com/ezstorit/status/1579532359590113280,there are benefits! what are the benefits of a self storage aggregator? https t.co 4e2bwu6sls via ezstorit blog aggregators are used for #airline #hotel and many other businesses even #selfstorage ! contact us for more information! https t.co 0pzdkvsrpn,0.7249,0.859,0.0,0.141,Positive
16,2022-10-10 17:43:43+00:00,https://twitter.com/JasaratAlert/status/1579528116778991616, https t.co ne1xv1tyqw #pia #canbe #airline https t.co 35myjovv9x,0.0,1.0,0.0,0.0,Neutral
17,2022-10-10 17:30:07+00:00,https://twitter.com/flightwit/status/1579524691798024198,"best fear of flying app ever. like having a pilot sitting next to you, explaining every sound, every turn, and every sensation. iphone https t.co m3iq5qugow and android https t.co eznhpmvjoc or search for soar in flight #fear #flying #travel #airline #anxiety https t.co swmxidmmdy",-0.1027,0.73,0.148,0.122,Negative
18,2022-10-10 16:32:02+00:00,https://twitter.com/bjgreenberg/status/1579510074170449927," americanair data breach discovered in july, w leak of employees name, dob, address, phone, email, driver s license number, passport number and medical information #security #privacy #cloud #cyber #cybersecurity #infosec #airline https t.co digjtawp73 https t.co l07hctftwk",0.1531,0.817,0.059,0.124,Positive
19,2022-10-10 16:28:07+00:00,https://twitter.com/TKTZio/status/1579509091638341632,the dutch people demand a free market and not centralized conduct as the airlines do. #netherlands #airports #airline #nftcommunitiy https t.co p8y6ts23ft,0.4215,0.806,0.06,0.133,Positive
20,2022-10-10 16:22:54+00:00,https://twitter.com/RWMann/status/1579507775310528513,#airline #jet #fuel #prices new york platts 07oct22 4.201 gallon,0.0,1.0,0.0,0.0,Neutral
21,2022-10-10 15:50:13+00:00,https://twitter.com/MIDASAviation/status/1579499552981549056,"what's the #airline capacity for week 41 of 2022 compared to previous years? jgavconsultants looks at oag aviation data in his latest blog to reveal that 2022 94.965,421 seats 2021 78.611.081 seats 2020 58,351,597 seats more #aviation facts https t.co rn6kxmxz77 https t.co icho41rjbn",0.0,1.0,0.0,0.0,Neutral
22,2022-10-10 15:50:07+00:00,https://twitter.com/flightwit/status/1579499528075415552,how likely is your airliner's engine to fail? see https t.co zey9rxzq6r #airline #travel #ttot #rt #lp #bcfa https t.co ndyg7x4gro,-0.5423,0.851,0.149,0.0,Negative
